Filename	AuditedName	Taxon Order	English Name	French Name	Latin Name	Order	Family
Apapane_0584.jpg	Apapane  	32117	Apapane	Picchion cramoisi	Himatione sanguinea	Passeriformes	Fringillidae (Finches, Euphonias, and Allies)
Apapane_1565.jpg	Apapane  	32117	Apapane	Picchion cramoisi	Himatione sanguinea	Passeriformes	Fringillidae (Finches, Euphonias, and Allies)
Apical_Flycatcher.jpg	Apical Flycatcher 	17316	Apical Flycatcher	Tyran à queue givrée	Myiarchus apicalis	Passeriformes	Tyrannidae (Tyrant Flycatchers)
Apperts_Tetraka_-_Farifrota_dAppert_6322.jpg	Appert's Tetraka	23977	Appert's Tetraka	Farifotra d'Appert	Xanthomixis apperti	Passeriformes	Bernieridae (Malagasy Warblers)
Archbolds_Newtonia_6765.jpg	Archbold's Newtonia	19969	Archbold's Newtonia	Newtonie d'Archbold	Newtonia archboldi	Passeriformes	Vangidae (Vangas, Helmetshrikes, and Allies)
Archbolds_Newtonia_6798.jpg	Archbold's Newtonia	19969	Archbold's Newtonia	Newtonie d'Archbold	Newtonia archboldi	Passeriformes	Vangidae (Vangas, Helmetshrikes, and Allies)
Archbolds_Newtonia_9509MF.jpg	Archbold's Newtonia	19969	Archbold's Newtonia	Newtonie d'Archbold	Newtonia archboldi	Passeriformes	Vangidae (Vangas, Helmetshrikes, and Allies)
Arctic_tern_2230.jpg	Arctic Tern 	6733	Arctic Tern	Sterne arctique	Sterna paradisaea	Charadriiformes	Laridae (Gulls, Terns, and Skimmers)
Arctic_Tern_3352.jpg	Arctic Tern 	6733	Arctic Tern	Sterne arctique	Sterna paradisaea	Charadriiformes	Laridae (Gulls, Terns, and Skimmers)
Arrow-marked_Babbler_9840.jpg	Arrow-marked Babbler 	26680	Arrow-marked Babbler	Cratérope fléché	Turdoides jardineii	Passeriformes	Leiothrichidae (Laughingthrushes and Allies)
Ashy_Starling_163.jpg	Ashy Starling 	27957	Ashy Starling	Choucador cendré	Lamprotornis unicolor	Passeriformes	Sturnidae (Starlings)
Atlantic_Puffin_9688.jpg	Atlantic Puffin 	6379	Atlantic Puffin	Macareux moine	Fratercula arctica	Charadriiformes	Alcidae (Auks, Murres, and Puffins)
Augur_Buzzard_285.jpg	Augur Buzzard 	8538	Augur Buzzard	Buse augure	Buteo augur	Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)
Australasian_Gannet_9546.jpg	Australasian Gannet 	7335	Australasian Gannet	Fou austral	Morus serrator	Suliformes	Sulidae (Boobies and Gannets)
Australasian_Gannet_9550.jpg	Australasian Gannet 	7335	Australasian Gannet	Fou austral	Morus serrator	Suliformes	Sulidae (Boobies and Gannets)
Australasian_Grebe_8279.jpg	Australasian Grebe 	6840	Australasian Grebe	Grèbe australasien	Tachybaptus novaehollandiae	Podicipediformes	Podicipedidae (Grebes)
