467489401	Mangrove Yellow Warbler-467489401	Mangrove Yellow Warbler (Mexican)	34097	Mangrove Yellow Warbler	Paruline des mangroves	Setophaga petechia	Passeriformes	Parulidae (New World Warblers)
473592171	Pale-mandibled Aracari-473592171	Pale-mandibled Aracari (Pale-billed)	10889	Pale-mandibled Aracari	Araçari à bec clair	Pteroglossus erythropygius	Piciformes	Ramphastidae (Toucans)
473943911	Flame-rumped Tanager-473943911	Flame-rumped Tanager (Lemon-rumped)	34796	Flame-rumped Tanager	Tangara flamboyant	Ramphocelus flammigerus	Passeriformes	Thraupidae (Tanagers and Allies)
474599351	Crowned Woodnymph-474599351	Crowned Woodnymph (Green-crowned/Emerald-bellied)	4976	Crowned Woodnymph	Dryade couronnée	Thalurania colombica	Apodiformes	Trochilidae (Hummingbirds)
477460281	Silvery Grebe-477460281	Silvery Grebe (Andean)	6882	Silvery Grebe	Grèbe aux belles joues	Podiceps occipitalis	Podicipediformes	Podicipedidae (Grebes)
477460361	Silvery Grebe-477460361	Silvery Grebe (Andean)	6882	Silvery Grebe	Grèbe aux belles joues	Podiceps occipitalis	Podicipediformes	Podicipedidae (Grebes)
477461451	Andean Duck-477461451	Andean Duck (ferruginea)	780	Andean Duck	Érismature des Andes	Oxyura ferruginea	Anseriformes	Anatidae (Ducks, Geese, and Waterfowl)
502697631	Hudsonian Whimbrel-502697631	Hudsonian Whimbrel	6011	Hudsonian Whimbrel	Courlis hudsonien	Numenius hudsonicus	Charadriiformes	Scolopacidae (Sandpipers and Allies)
503658691	Silver Gull-503658691	Silver Gull (Silver)	6463	Silver Gull	Mouette argentée	Chroicocephalus novaehollandiae	Charadriiformes	Laridae (Gulls, Terns, and Skimmers)
503704011	Silver Gull-503704011	Silver Gull (Silver)	6463	Silver Gull	Mouette argentée	Chroicocephalus novaehollandiae	Charadriiformes	Laridae (Gulls, Terns, and Skimmers)
514725941	Pale-mandibled Aracari-514725941	Pale-mandibled Aracari	10889	Pale-mandibled Aracari	Araçari à bec clair	Pteroglossus erythropygius	Piciformes	Ramphastidae (Toucans)
529819831	Little Heron-529819831	Little Heron	7673	Little Heron	Héron des mangroves	Butorides atricapilla	Pelecaniformes	Ardeidae (Herons, Egrets, and Bitterns)
530272901	White-crowned Lapwing-530272901	White-crowned Lapwing	5867	White-crowned Lapwing	Vanneau à tête blanche	Vanellus albiceps	Charadriiformes	Charadriidae (Plovers and Lapwings)
531171721	Brown-crowned Tchagra-531171721	Brown-crowned Tchagra	20083	Brown-crowned Tchagra	Tchagra à tête brune	Tchagra australis	Passeriformes	Malaconotidae (Bushshrikes and Allies)
531175931	Pearl-spotted Owlet-531175931	Pearl-spotted Owlet	9007	Pearl-spotted Owlet	Chevêchette perlée	Glaucidium perlatum	Strigiformes	Strigidae (Owls)
531182341	Scarlet-chested Sunbird-531182341	Scarlet-chested Sunbird	30267	Scarlet-chested Sunbird	Souimanga à poitrine rouge	Chalcomitra senegalensis	Passeriformes	Nectariniidae (Sunbirds and Spiderhunters)
531184941	Scarlet-chested Sunbird-531184941	Scarlet-chested Sunbird	30267	Scarlet-chested Sunbird	Souimanga à poitrine rouge	Chalcomitra senegalensis	Passeriformes	Nectariniidae (Sunbirds and Spiderhunters)
531440091	Red-winged Starling-531440091	Red-winged Starling	27911	Red-winged Starling	Rufipenne morio	Onychognathus morio	Passeriformes	Sturnidae (Starlings)
531459491	Marico Sunbird-531459491	Marico Sunbird	30393	Marico Sunbird	Souimanga du Marico	Cinnyris mariquensis	Passeriformes	Nectariniidae (Sunbirds and Spiderhunters)
531460881	African Hawk-Eagle-531460881	African Hawk-Eagle	8075	African Hawk-Eagle	Aigle fascié	Aquila spilogaster	Accipitriformes	Accipitridae (Hawks, Eagles, and Kites)
531515631	Saddle-billed Stork-531515631	Saddle-billed Stork	7300	Saddle-billed Stork	Jabiru d'Afrique	Ephippiorhynchus senegalensis	Ciconiiformes	Ciconiidae (Storks)
531520061	Brown-headed Parrot-531520061	Brown-headed Parrot	12781	Brown-headed Parrot	Perroquet à tête brune	Poicephalus cryptoxanthus	Psittaciformes	Psittacidae (New World and African Parrots)
531590881	Red-headed Weaver-531590881	Red-headed Weaver	30754	Red-headed Weaver	Anaplecte écarlate	Anaplectes rubriceps	Passeriformes	Ploceidae (Weavers and Allies)
531930891	White-crested Helmetshrike-531930891	White-crested Helmetshrike	19905	White-crested Helmetshrike	Bagadais casqué	Prionops plumatus	Passeriformes	Vangidae (Vangas, Helmetshrikes, and Allies)
531939091	Black-crowned Tchagra-531939091	Black-crowned Tchagra	20071	Black-crowned Tchagra	Tchagra à tête noire	Tchagra senegalus	Passeriformes	Malaconotidae (Bushshrikes and Allies)
531942181	Golden-breasted Bunting-531942181	Golden-breasted Bunting	32756	Golden-breasted Bunting	Bruant à poitrine dorée	Emberiza flaviventris	Passeriformes	Emberizidae (Old World Buntings)
531957791	Chinspot Batis-531957791	Chinspot Batis	19875	Chinspot Batis	Pririt molitor	Batis molitor	Passeriformes	Platysteiridae (Wattle-eyes and Batises)
546177511	Double-banded Graytail-546177511	Double-banded Graytail	15461	Double-banded Graytail	Queue-grise des feuilles	Xenerpestes minlosi	Passeriformes	Furnariidae (Ovenbirds and Woodcreepers)
550406411	Retz's Helmetshrike-550406411	Retz's Helmetshrike	19920	Retz's Helmetshrike	Bagadais de Retz	Prionops retzii	Passeriformes	Vangidae (Vangas, Helmetshrikes, and Allies)
550414331	Marico Sunbird-550414331	Marico Sunbird	30393	Marico Sunbird	Souimanga du Marico	Cinnyris mariquensis	Passeriformes	Nectariniidae (Sunbirds and Spiderhunters)
550415961	Brown-headed Parrot-550415961	Brown-headed Parrot	12781	Brown-headed Parrot	Perroquet à tête brune	Poicephalus cryptoxanthus	Psittaciformes	Psittacidae (New World and African Parrots)
550417651	Spectacled Weaver-550417651	Spectacled Weaver	30786	Spectacled Weaver	Tisserin à lunettes	Ploceus ocularis	Passeriformes	Ploceidae (Weavers and Allies)
551147491	Saddle-billed Stork-551147491	Saddle-billed Stork	7300	Saddle-billed Stork	Jabiru d'Afrique	Ephippiorhynchus senegalensis	Ciconiiformes	Ciconiidae (Storks)
563202371	Southern Gray-headed Sparrow-563202371	Southern Gray-headed Sparrow	31593	Southern Gray-headed Sparrow	Moineau sud-africain	Passer diffusus	Passeriformes	Passeridae (Old World Sparrows)
563204381	Lesser Striped Swallow-563204381	Lesser Striped Swallow	24254	Lesser Striped Swallow	Hirondelle striée	Cecropis abyssinica	Passeriformes	Hirundinidae (Swallows)
563215831	Red-headed Weaver-563215831	Red-headed Weaver	30754	Red-headed Weaver	Anaplecte écarlate	Anaplectes rubriceps	Passeriformes	Ploceidae (Weavers and Allies)
563221231	Common Greenshank-563221231	Common Greenshank	6152	Common Greenshank	Chevalier aboyeur	Tringa nebularia	Charadriiformes	Scolopacidae (Sandpipers and Allies)
563495341	Red-billed Oxpecker-563495341	Red-billed Oxpecker	27680	Red-billed Oxpecker	Piqueboeuf à bec rouge	Buphagus erythroryncha	Passeriformes	Buphagidae (Oxpeckers)
568011691	Winter Wren-568011691	Winter Wren	27295	Winter Wren	Troglodyte des forêts	Troglodytes hiemalis	Passeriformes	Troglodytidae (Wrens)
570930111	Common Nighthawk-570930111	Common Nighthawk	3492	Common Nighthawk	Engoulevent d'Amérique	Chordeiles minor	Caprimulgiformes	Caprimulgidae (Nightjars and Allies)
612426856	Hudsonian Whimbrel-612426856	Hudsonian Whimbrel	6011	Hudsonian Whimbrel	Courlis hudsonien	Numenius hudsonicus	Charadriiformes	Scolopacidae (Sandpipers and Allies)
626566609	Crested Drongo-626566609	Crested Drongo (Madagascar)	20430	Crested Drongo	Drongo malgache	Dicrurus forficatus	Passeriformes	Dicruridae (Drongos)
626566614	Crested Drongo-626566614	Crested Drongo (Madagascar)	20430	Crested Drongo	Drongo malgache	Dicrurus forficatus	Passeriformes	Dicruridae (Drongos)
626570058	Little Heron-626570058	Little Heron	7673	Little Heron	Héron des mangroves	Butorides atricapilla	Pelecaniformes	Ardeidae (Herons, Egrets, and Bitterns)
626725961	Malagasy Paradise-Flycatcher-626725961	Malagasy Paradise-Flycatcher (Malagasy)	20753	Malagasy Paradise-Flycatcher	Tchitrec malgache	Terpsiphone mutata	Passeriformes	Monarchidae (Monarch Flycatchers)
638158784	Southern Emerald-Toucanet-638158784	Southern Emerald-Toucanet (Santa Marta)	10845	Southern Emerald-Toucanet	Toucanet à gorge blanche	Aulacorhynchus albivitta	Piciformes	Ramphastidae (Toucans)
638159290	Southern Emerald-Toucanet-638159290	Southern Emerald-Toucanet (Santa Marta)	10845	Southern Emerald-Toucanet	Toucanet à gorge blanche	Aulacorhynchus albivitta	Piciformes	Ramphastidae (Toucans)
638318100	Gray-breasted Wood-Wren-638318100	Gray-breasted Wood-Wren (bangsi)	27612	Gray-breasted Wood-Wren	Troglodyte à poitrine grise	Henicorhina leucophrys	Passeriformes	Troglodytidae (Wrens)
638498314	White-winged Becard-638498314	White-winged Becard	16048	White-winged Becard	Bécarde à ailes blanches	Pachyramphus polychopterus	Passeriformes	Tityridae (Tityras and Allies)
640588336	Hudsonian Whimbrel-640588336	Hudsonian Whimbrel	6011	Hudsonian Whimbrel	Courlis hudsonien	Numenius hudsonicus	Charadriiformes	Scolopacidae (Sandpipers and Allies)
646193948	Eurasian Coot-646193948	Eurasian Coot	5487	Eurasian Coot	Foulque macroule	Fulica atra	Gruiformes	Rallidae (Rails, Gallinules, and Coots)
646204666	Australasian Darter-646204666	Australasian Darter	7375	Australasian Darter	Anhinga d'Australie	Anhinga novaehollandiae	Suliformes	Anhingidae (Anhingas)
646207319	Gray Teal-646207319	Gray Teal	637	Gray Teal	Sarcelle australasienne	Anas gracilis	Anseriformes	Anatidae (Ducks, Geese, and Waterfowl)
646207641	Gray Teal-646207641	Gray Teal	637	Gray Teal	Sarcelle australasienne	Anas gracilis	Anseriformes	Anatidae (Ducks, Geese, and Waterfowl)
646262207	Slender-billed Thornbill-646262207	Slender-billed Thornbill	18411	Slender-billed Thornbill	Acanthize d'Iredale	Acanthiza iredalei	Passeriformes	Acanthizidae (Thornbills and Allies)
646295781	Apostlebird-646295781	Apostlebird	21017	Apostlebird	Apôtre gris	Struthidea cinerea	Passeriformes	Corcoracidae (White-winged Chough and Apostlebird)
646295957	Apostlebird-646295957	Apostlebird	21017	Apostlebird	Apôtre gris	Struthidea cinerea	Passeriformes	Corcoracidae (White-winged Chough and Apostlebird)
646300690	Australian Ringneck-646300690	Australian Ringneck	12472	Australian Ringneck	Perruche à col jaune	Barnardius zonarius	Psittaciformes	Psittaculidae (Old World Parrots)
646303926	Australian Ringneck-646303926	Australian Ringneck	12472	Australian Ringneck	Perruche à col jaune	Barnardius zonarius	Psittaciformes	Psittaculidae (Old World Parrots)
