Old Order	Current order	Taxon Order	Category	English Name	French Name	Scientific Name	Order	Family	Taxon	Location	S/P	Date	LocID	SubID	Exotic	Countable
887	568	7413	species	Little Black Cormorant	Cormoran noir	Phalacrocorax sulcirostris	Suliformes	Phalacrocoracidae (Cormorants and Shags)	7413	Royal Botanic Gardens (Sydney)	AU-NSW	07-Oct-17	L915566	S39591405		1
1844	602	7629	species	Little Blue Heron	Aigrette bleue	Egretta caerulea	Pelecaniformes	"Ardeidae (Herons, Egrets, and Bitterns)"	7629	Orange Walk	BZ-OW	26-Nov-11	L295270	S15368874		1
801	920	12189	species	Little Corella	Cacatos corella	Cacatua sanguinea	Psittaciformes	Cacatuidae (Cockatoos)	12189	Port Campbell National Park--Loch Ard Gorge	AU-VIC	23-Oct-17	L921671	S40074079		1
90	1430	21607	species	Little Crow	Corbeau du dsert	Corvus bennetti	Passeriformes	"Corvidae (Crows, Jays, and Magpies)"	21607	Murray-Sunset National Park--Shearers Quarters	AU-VIC	07-Nov-25	L2556520	S283231513		1
778	668	8048	species	Little Eagle	Aigle nain	Hieraaetus morphnoides	Accipitriformes	"Accipitridae (Hawks, Eagles, and Kites)"	8048	Devils Garden State Forest	AU-VIC	26-Oct-17	L2117960	S40125315		1
2009	608	7650	species	Little Egret	Aigrette garzette	Egretta garzetta	Pelecaniformes	"Ardeidae (Herons, Egrets, and Bitterns)"	7650	Lake Manyara NP (Arusha)	TZ-01	09-Aug-05	L1033409	S15379179		1
77	1283	18181	species	Little Friarbird	Polochion  menton jaune	Philemon citreogularis	Passeriformes	Meliphagidae (Honeyeaters)	18181	"Island Sanctuary, Deniliquin"	AU-NSW	09-Nov-25	L2747615	S283628839		1
122	1476	23850	species	Little Grassbird	Mgalure menue	Poodytes gramineus	Passeriformes	Locustellidae (Grassbirds and Allies)	23850	Muloorina Station	AU-SA	04-Nov-25	L2554517	S282802832		1
1346	518	6827	species	Little Grebe	Grbe castagneux	Tachybaptus ruficollis	Podicipediformes	Podicipedidae (Grebes)	6827	Korsman Bird Sanctuary	ZA-GT	06-Oct-14	L1912725	S20305927		1
316	480	6447	species	Little Gull	Mouette pygme	Hydrocoloeus minutus	Charadriiformes	"Laridae (Gulls, Terns, and Skimmers)"	6447	Point Pelee NP--Tip	CA-ON	14-May-23	L611224	S137637093		1
1856	237	4303	species	Little Hermit	Ermite nain	Phaethornis longuemareus	Apodiformes	Trochilidae (Hummingbirds)	4303	Orange Walk	BZ-OW	26-Nov-11	L295270	S15368874		1
1338	612	7673	species	Little Heron	Hron des mangroves	Butorides atricapilla	Pelecaniformes	"Ardeidae (Herons, Egrets, and Bitterns)"	7673	Kasane--town	BW-NW	08-Oct-14	L1070000	S20614376		1
813	536	6949	species	Little Penguin	Manchot pygme	Eudyptula minor	Sphenisciformes	Spheniscidae (Penguins)	6949	St Kilda Pier	AU-VIC	20-Oct-17	L2081599	S40033452		1
888	562	7377	species	Little Pied Cormorant	Cormoran pie	Microcarbo melanoleucos	Suliformes	Phalacrocoracidae (Cormorants and Shags)	7377	Royal Botanic Gardens (Sydney)	AU-NSW	07-Oct-17	L915566	S39591405		1
824	1432	21611	species	Little Raven	Petit Corbeau	Corvus mellori	Passeriformes	"Corvidae (Crows, Jays, and Magpies)"	21611	Birrarung Marr	AU-VIC	17-Oct-17	L2531561	S39970919		1
1952	676	8134	species	Little Sparrowhawk	pervier minule	Tachyspiza minulla	Accipitriformes	"Accipitridae (Hawks, Eagles, and Kites)"	8134	Tarangire NP	TZ-26	16-Aug-05	L1044008	S15379289		1
1962	459	6219	species	Little Stint	Bcasseau minute	Calidris minuta	Charadriiformes	Scolopacidae (Sandpipers and Allies)	6219	Ngorongoro Conservation Area--Ngorongoro Crater	TZ-01	15-Aug-05	L951508	S15379258		1
37	504	6682	species	Little Tern	Sterne naine	Sternula albifrons	Charadriiformes	"Laridae (Gulls, Terns, and Skimmers)"	6682	Avalon Beach	AU-VIC	14-Nov-25	L2550213	S284352819		1
960	4	174	species	Little Tinamou	Tinamou soui	Crypturellus soui	Tinamiformes	Tinamidae (Tinamous)	174	Summit Ponds	PA-8	01-Apr-17	L589165	S35623855		1
868	1261	17859	species	Little Wattlebird	Mliphage  gouttelettes	Anthochaera chrysoptera	Passeriformes	Meliphagidae (Honeyeaters)	17859	Blue Mountains Botanic Garden	AU-NSW	09-Oct-17	L2556612	S39782646		1
207	1641	29646	species	Littoral Rock-Thrush	Monticole du littoral	Monticola imerina	Passeriformes	Muscicapidae (Old World Flycatchers)	29646	"Route Sans Nom, Anakao, Atsimo-Andrefana, MG (-23,647, 43,653)"	MG-U	15-Nov-24	L38038020	S202791261		1
1534	1403	21091	species	Loggerhead Shrike	Pie-griche migratrice	Lanius ludovicianus	Passeriformes	Laniidae (Shrikes)	21091	Santa Cruz Island--Scorpion Canyon Campgrounds	US-CA	21-Oct-13	L2442150	S15464627		1
229	1480	23964	species	Long-billed Bernieria	Ttraka malgache	Bernieria madagascariensis	Passeriformes	Bernieridae (Malagasy Warblers)	23964	Zombitse-Vohibasia NP	MG-U	12-Nov-24	L920160	S202373817		1
803	921	12196	species	Long-billed Corella	Cacatos nasique	Cacatua tenuirostris	Psittaciformes	Cacatuidae (Cockatoos)	12196	Port Campbell National Park (general location - please use a more specific location if possible)	AU-VIC	22-Oct-17	L2549124	S40059479		1
1440	1461	22880	species	Long-billed Crombec	Crombec  long bec	Sylvietta rufescens	Passeriformes	Macrosphenidae (African Warblers)	22880	Kruger NP--Letaba-Olifants Rd	ZA-LP	26-Sep-14	L2355950	S20351042		1
1570	429	6021	species	Long-billed Curlew	Courlis  long bec	Numenius americanus	Charadriiformes	Scolopacidae (Sandpipers and Allies)	6021	Bayshore Bikeway--Emory Cove & Pond 11	US-CA	13-Oct-13	L761524	S15396554		1
1640	435	6061	species	Long-billed Dowitcher	Bcassin  long bec	Limnodromus scolopaceus	Charadriiformes	Scolopacidae (Sandpipers and Allies)	6061	Islamorada	US-FL	31-Dec-12	L250986	S15371090		1
1699	1528	27074	species	Long-billed Gnatwren	Microbate  long bec	Ramphocaenus melanurus	Passeriformes	Polioptilidae (Gnatcatchers)	27074	Blue Hole National Park	BZ-CY	01-Dec-11	L2381840	S15367650		1
1027	235	4273	species	Long-billed Hermit	Ermite  longue queue	Phaethornis longirostris	Apodiformes	Trochilidae (Hummingbirds)	4273	Canopy Tower	PA-8	17-Nov-16	L454638	S32596455		1
1097	291	4725	species	Long-billed Starthroat	Colibri corinne	Heliomaster longirostris	Apodiformes	Trochilidae (Hummingbirds)	4725	Camino a La Mesa	PA-2	11-Nov-16	L2149551	S32494405		1
1322	666	8034	species	Long-crested Eagle	Aigle huppard	Lophaetus occipitalis	Accipitriformes	"Accipitridae (Hawks, Eagles, and Kites)"	8034	Moremi--Khwai River (north side)	BW-NW	12-Oct-14	L1220375	S20696861		1
504	746	9253	species	Long-eared Owl	Hibou moyen-duc	Asio otus	Strigiformes	Strigidae (Owls)	9253	Point Pelee NP--Tip	CA-ON	07-May-19	L611224	S55960536		1
1523	66	741	species	Long-tailed Duck	Harelde kakawi	Clangula hyemalis	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"	741	Presqu'ile Provincial Park (general location)	CA-ON	06-Apr-14	L351706	S17772174		1
1996	1406	21138	species	Long-tailed Fiscal	Pie-griche  longue queue	Lanius cabanisi	Passeriformes	Laniidae (Shrikes)	21138	Lake Manyara NP (Arusha)	TZ-01	09-Aug-05	L1033409	S15379179		1
222	819	10373	species	Long-tailed Ground-Roller	Brachyptrolle  longue queue	Uratelornis chimaera	Coraciiformes	Brachypteraciidae (Ground-Rollers)	10373	Ifaty--spiny forest reserves	MG-U	13-Nov-24	L920191	S202372400		1
344	1089	15700	species	Long-tailed Manakin	Manakin fastueux	Chiroxiphia linearis	Passeriformes	Pipridae (Manakins)	15700	Curi-Cancha Refugio de Vida Silvestre	CR-P	13-Jun-22	L1468729	S112868615		1
415	1651	29908	species	Long-tailed Silky-flycatcher	Ptilogon  longue queue	Ptiliogonys caudatus	Passeriformes	Ptiliogonatidae (Silky-flycatchers)	29908	Paraiso Quetzal Lodge - Km 70	CR-SJ	03-Jun-22	L1457094	S112058480		1
